attribute,absFrequency,relFrequency
CAMACHO,34,0.00017
BEAN,34,0.00017
BARRON,34,0.00017
LIVINGSTON,34,0.00017
MIDDLETON,32,0.00016
SPEARS,32,0.00016
BRANCH,32,0.00016
BLEVINS,32,0.00016
CHEN,32,0.00016
KERR,32,0.00016
MCCONNELL,32,0.00016
HATFIELD,32,0.00016
HARDING,32,0.00016
ASHLEY,32,0.00016
SOLIS,32,0.00016
HERMAN,32,0.00016
FROST,32,0.00016
GILES,32,0.00016
BLACKBURN,32,0.00016
WILLIAM,32,0.00016
PENNINGTON,32,0.00016
WOODWARD,32,0.00016
FINLEY,32,0.00016
MCINTOSH,32,0.00016
KOCH,32,0.00016
BEST,32,0.00016
SOLOMON,32,0.00016
MCCULLOUGH,32,0.00016
DUDLEY,32,0.00016
NOLAN,32,0.00016
BLANCHARD,32,0.00016
RIVAS,32,0.00016
BRENNAN,32,0.00016
MEJIA,32,0.00016
KANE,32,0.00016
BENTON,32,0.00016
JOYCE,32,0.00016
BUCKLEY,32,0.00016
HALEY,32,0.00016
VALENTINE,32,0.00016
MADDOX,32,0.00016
RUSSO,32,0.00016
MCKNIGHT,32,0.00016
BUCK,32,0.00016
MOON,32,0.00016
MCMILLAN,32,0.00016
CROSBY,32,0.00016
BERG,32,0.00016
DOTSON,32,0.00016
MAYS,32,0.00016
ROACH,32,0.00016
CHURCH,32,0.00016
CHAN,32,0.00016
RICHMOND,32,0.00016
MEADOWS,32,0.00016
FAULKNER,32,0.00016
ONEILL,32,0.00016
KNAPP,32,0.00016
KLINE,30,0.00015
BARRY,30,0.00015
OCHOA,30,0.00015
JACOBSON,30,0.00015
GAY,30,0.00015
AVERY,30,0.00015
HENDRICKS,30,0.00015
HORNE,30,0.00015
SHEPARD,30,0.00015
HEBERT,30,0.00015
CHERRY,30,0.00015
CARDENAS,30,0.00015
MCINTYRE,30,0.00015
WHITNEY,30,0.00015
WALLER,30,0.00015
HOLMAN,30,0.00015
DONALDSON,30,0.00015
CANTU,30,0.00015
TERRELL,30,0.00015
MORIN,30,0.00015
GILLESPIE,30,0.00015
FUENTES,30,0.00015
TILLMAN,30,0.00015
SANFORD,30,0.00015
BENTLEY,30,0.00015
PECK,30,0.00015
KEY,30,0.00015
SALAS,30,0.00015
ROLLINS,30,0.00015
GAMBLE,30,0.00015
DICKSON,30,0.00015
BATTLE,30,0.00015
SANTANA,30,0.00015
CABRERA,30,0.00015
CERVANTES,30,0.00015
HOWE,30,0.00015
HINTON,30,0.00015
HURLEY,30,0.00015
SPENCE,30,0.00015
ZAMORA,30,0.00015
YANG,30,0.00015
MCNEIL,30,0.00015
SUAREZ,30,0.00015
CASE,30,0.00015
PETTY,30,0.00015
GOULD,30,0.00015
MCFARLAND,30,0.00015
SAMPSON,30,0.00015
CARVER,30,0.00015
BRAY,30,0.00015
ROSARIO,30,0.00015
MACDONALD,30,0.00015
STOUT,30,0.00015
HESTER,30,0.00015
MELENDEZ,30,0.00015
DILLON,30,0.00015
FARLEY,30,0.00015
HOPPER,30,0.00015
GALLOWAY,30,0.00015
POTTS,30,0.00015
BERNARD,30,0.00015
JOYNER,28,0.00014
STEIN,28,0.00014
AGUIRRE,28,0.00014
OSBORN,28,0.00014
MERCER,28,0.00014
BENDER,28,0.00014
FRANCO,28,0.00014
ROWLAND,28,0.00014
SYKES,28,0.00014
BENJAMIN,28,0.00014
TRAVIS,28,0.00014
PICKETT,28,0.00014
CRANE,28,0.00014
SEARS,28,0.00014
MAYO,28,0.00014
DUNLAP,28,0.00014
HAYDEN,28,0.00014
WILDER,28,0.00014
MCKAY,28,0.00014
COFFEY,28,0.00014
MCCARTY,28,0.00014
EWING,28,0.00014
COOLEY,28,0.00014
VAUGHAN,28,0.00014
BONNER,28,0.00014
COTTON,28,0.00014
HOLDER,28,0.00014
STARK,28,0.00014
FERRELL,28,0.00014
CANTRELL,28,0.00014
FULTON,28,0.00014
LYNN,28,0.00014
LOTT,28,0.00014
CALDERON,28,0.00014
ROSA,28,0.00014
POLLARD,28,0.00014
HOOPER,28,0.00014
BURCH,28,0.00014
MULLEN,28,0.00014
FRY,28,0.00014
RIDDLE,28,0.00014
LEVY,28,0.00014
DAVID,28,0.00014
DUKE,28,0.00014
ODONNELL,28,0.00014
GUY,28,0.00014
MICHAEL,28,0.00014
BRITT,28,0.00014
FREDERICK,28,0.00014
DAUGHERTY,28,0.00014
BERGER,28,0.00014
DILLARD,28,0.00014
ALSTON,28,0.00014
JARVIS,28,0.00014
FRYE,28,0.00014
RIGGS,28,0.00014
CHANEY,28,0.00014
ODOM,26,0.00013
DUFFY,26,0.00013
FITZPATRICK,26,0.00013
VALENZUELA,26,0.00013
